gene_symbol,retina_24,retina_25,retina_26,retina_27,retina_33,retina_34
JUND,False,False,False,False,False,True
KCNE2,False,True,False,False,False,False
KCNJ10,False,False,False,False,False,True
KCNMA1,False,False,True,False,False,False
KDR,False,False,False,False,False,True
LAPTM4A,False,False,False,False,False,True
LHX4,False,False,False,True,False,False
LIN7A,False,False,True,False,True,False
LRTM1,False,False,True,True,True,False
MACF1,False,False,True,False,False,False
MAP1B,False,False,False,False,False,True
MAP4,True,False,True,False,True,False
MAP6,False,False,True,False,False,False
MARCKS,False,False,False,False,False,True
MEG3,True,False,False,False,False,False
MFGE8,False,False,False,False,False,True
MGARP,False,False,False,False,False,True
MLC1,False,False,False,False,False,True
MPP4,False,False,False,False,False,True
MT1,False,False,False,False,False,True
NDNF,False,False,True,False,False,False
NDRG2,False,False,False,False,False,True
NEUROD1,False,False,False,False,False,True
NEUROD4,False,False,True,True,True,False
NME1,True,False,True,True,True,False
NNAT,False,False,False,True,False,False
NR2E3,True,False,True,False,True,True
NRL,True,False,True,False,True,True
NRXN3,True,False,True,True,True,False
NUDT4,False,False,False,False,False,True
OGFRL1,False,False,False,False,False,True
OPN1MW,False,True,False,False,False,False
OPN1SW,False,True,False,False,False,False
OTOR,False,False,False,True,False,False
PAK3,False,False,False,False,False,True
PAX6,False,False,False,False,False,True
PBXIP1,False,False,False,False,False,True
PCP2,False,False,True,False,False,False
PCP4,False,False,True,True,False,False
PCP4L1,False,False,False,False,True,False
PDC,True,False,True,True,True,True
PDE6A,True,False,True,False,False,True
PDE6B,True,False,True,False,True,True
PDE6C,False,True,False,False,False,False
PDE6G,True,False,True,False,True,True
PDE6H,False,True,False,False,False,False
PDPN,False,False,False,False,False,True
PFN2,False,False,False,False,False,True
PHYHIPL,False,False,False,True,False,False
PON2,False,False,False,False,False,True
PPAP2B,False,False,False,False,False,True
PPP3CA,False,False,True,False,False,False
PRDM8,False,False,True,False,False,False
PRDX1,False,False,False,False,False,True
PRDX6,False,False,False,False,False,True
PRKCA,False,False,True,False,False,False
PROX1,False,False,True,False,True,False
PRPH2,True,False,True,True,True,True
PTN,False,False,False,False,False,True
PTPRD,True,False,True,False,True,False
PTPRZ1,False,False,False,False,True,False
QPCT,False,False,True,False,False,False
RCN2,False,False,False,False,False,True
RCVRN,True,False,True,True,True,True
RDH10,False,False,False,False,False,True
RDH12,True,False,False,False,False,False
RELN,False,False,False,False,True,False
REV3L,False,False,True,False,False,False
RHO,True,False,True,True,True,True
RLBP1,False,False,False,False,False,True
RNF152,False,False,True,False,False,False
ROM1,True,False,True,False,False,True
RP1,True,False,True,False,True,True
RPA1,False,False,True,False,False,False
RPGRIP1,True,False,True,False,False,True
RS1,True,False,True,False,False,True
RTN3,False,False,False,False,False,True
RTN4,False,False,False,False,False,True
SAG,True,False,True,True,True,True
SAMSN1,False,False,False,False,True,False
SAT1,False,False,False,False,False,True
SBSPON,False,False,False,False,False,True
SCD2,False,False,False,False,False,True
SCG2,False,False,False,False,True,False
SCG3,True,True,False,False,True,False
SCGN,False,False,False,True,True,False
SEBOX,False,False,True,False,False,False
SERINC1,True,False,False,False,False,False
SIX3OS1,False,False,False,False,False,True
SLC12A5,False,False,False,False,True,False
SLC16A1,False,False,False,False,False,True
SLC1A3,False,False,False,False,False,True
SLC24A1,True,False,True,False,False,True
SLC6A6,False,False,False,False,False,True
SLITRK6,False,False,False,True,False,False
SLMAP,False,False,False,False,False,True
SNAP25,False,False,False,False,False,True
SOX2,False,False,False,False,False,True
SOX9,False,False,False,False,False,True
SPARC,False,False,False,False,False,True
SPC25,False,False,False,False,False,True
SPHKAP,False,False,False,True,False,False
SPON1,False,False,False,False,False,True
STRIP2,False,False,True,False,False,False
STX3,False,False,False,False,False,True
SYNPR,False,False,False,False,False,True
SYT1,False,False,False,False,False,True
TCF4,False,False,False,False,False,True
TGFB2,False,False,True,False,False,True
TIMP2,False,False,False,False,False,True
TIMP3,False,False,False,False,False,True
TMA7,False,False,False,False,False,True
TMSB10,True,False,True,False,False,False
TRNP1,False,False,True,False,False,False
TRPM1,False,False,True,False,True,False
TRPM3,False,False,False,False,False,True
TSC22D4,False,False,False,False,False,True
TSPAN3,False,False,False,False,False,True
TTC3,True,False,False,False,False,False
TTYH1,False,False,False,False,False,True
TULP1,True,False,True,False,True,True
UNC119,True,False,False,False,False,True
UNC13C,False,False,False,False,True,False
UTP14B,False,False,False,False,False,True
VCAM1,False,False,False,False,False,True
VEGFA,False,False,False,False,False,True
VIM,False,False,False,False,False,True
VSTM2B,False,False,True,False,False,False
VSX1,False,False,False,False,True,False
VSX2,False,False,True,True,False,False
WIPI1,False,False,False,False,False,True
YWHAB,True,False,False,False,False,False
ZBTB20,False,False,True,False,False,False
ZFP365,False,False,True,False,False,False
ZFP36L1,False,False,False,False,False,True
